State,City,Population
Kentucky,Shelby County,42074
Kentucky,Simpson County,17327
Kentucky,Spencer County,17061
Kentucky,Taylor County,24512
Kentucky,Todd County,12460
Kentucky,Trigg County,14339
Kentucky,Trimble County,8809
Kentucky,Union County,15007
Kentucky,Warren County,113792
Kentucky,Washington County,11717
Kentucky,Wayne County,20813
Kentucky,Webster County,13621
Kentucky,Whitley County,35637
Kentucky,Wolfe County,7355
Kentucky,Woodford County,24939
Louisiana,Acadia Parish,61773
Louisiana,Allen Parish,25764
Louisiana,Ascension Parish,107215
Louisiana,Assumption Parish,23421
Louisiana,Avoyelles Parish,42073
Louisiana,Beauregard Parish,35654
Louisiana,Bienville Parish,14353
Louisiana,Bossier Parish,116979
Louisiana,Caddo Parish,254969
Louisiana,Calcasieu Parish,192768
Louisiana,Caldwell Parish,10132
Louisiana,Cameron Parish,6839
Louisiana,Catahoula Parish,10407
Louisiana,Claiborne Parish,17195
Louisiana,Concordia Parish,20822
Louisiana,De Soto Parish,26656
Louisiana,East Baton Rouge Parish,440171
Louisiana,East Carroll Parish,7759
Louisiana,East Feliciana Parish,20267
Louisiana,Evangeline Parish,33984
Louisiana,Franklin Parish,20767
Louisiana,Grant Parish,22309
Louisiana,Iberia Parish,73240
Louisiana,Iberville Parish,33387
Louisiana,Jackson Parish,16274
Louisiana,Jefferson Parish,432552
Louisiana,Jefferson Davis Parish,31594
Louisiana,Lafayette Parish,221578
Louisiana,Lafourche Parish,96318
Louisiana,LaSalle Parish,14890
Louisiana,Lincoln Parish,46735
Louisiana,Livingston Parish,128026
Louisiana,Madison Parish,12093
Louisiana,Morehouse Parish,27979
Louisiana,Natchitoches Parish,39566
Louisiana,Orleans Parish,343829
Louisiana,Ouachita Parish,153720
Louisiana,Plaquemines Parish,23042
Louisiana,Pointe Coupee Parish,22802
Louisiana,Rapides Parish,131613
Louisiana,Red River Parish,9091
Louisiana,Richland Parish,20725
Louisiana,Sabine Parish,24233
Louisiana,St. Bernard Parish,35897
Louisiana,St. Charles Parish,52780
Louisiana,St. Helena Parish,11203
Louisiana,St. James Parish,22102
Louisiana,St. John the Baptist Parish,45924
Louisiana,St. Landry Parish,83384
Louisiana,St. Martin Parish,52160
Louisiana,St. Mary Parish,54650
Louisiana,St. Tammany Parish,233740
Louisiana,Tangipahoa Parish,121097
Louisiana,Tensas Parish,5252
Louisiana,Terrebonne Parish,111860
Louisiana,Union Parish,22721
Louisiana,Vermilion Parish,57999
Louisiana,Vernon Parish,52334
Louisiana,Washington Parish,47168
Louisiana,Webster Parish,41207
Louisiana,West Baton Rouge Parish,23788
Louisiana,West Carroll Parish,11604
Louisiana,West Feliciana Parish,15625
Louisiana,Winn Parish,15313
Maine,Androscoggin County,107702
Maine,Aroostook County,71870
Maine,Cumberland County,281674
Maine,Franklin County,30768
Maine,Hancock County,54418
Maine,Kennebec County,122151
Maine,Knox County,39736
Maine,Lincoln County,34457
Maine,Oxford County,57833
Maine,Penobscot County,153923
Maine,Piscataquis County,17535
Maine,Sagadahoc County,35293
Maine,Somerset County,52228
Maine,Waldo County,38786
Maine,Washington County,32856
Maine,York County,197131
Maryland,Allegany County,75087
Maryland,Anne Arundel County,537656
Maryland,Baltimore County,805029
Maryland,Calvert County,88737
Maryland,Caroline County,33066
Maryland,Carroll County,167134
Maryland,Cecil County,101108
Maryland,Charles County,146551
Maryland,Dorchester County,32618
Maryland,Frederick County,233385
Maryland,Garrett County,30097
Maryland,Harford County,244826
Maryland,Howard County,287085
Maryland,Kent County,20197
Maryland,Montgomery County,971777
Maryland,Prince George's County,863420
Maryland,Queen Anne's County,47798
Maryland,St. Mary's County,105151
Maryland,Somerset County,26470
Maryland,Talbot County,37782
Maryland,Washington County,147430
Maryland,Wicomico County,98733
Maryland,Worcester County,51454
Maryland,Baltimore city,620961
Massachusetts,Barnstable County,215888
Massachusetts,Berkshire County,131219
Massachusetts,Bristol County,548285
Massachusetts,Dukes County,16535
Massachusetts,Essex County,743159
Massachusetts,Franklin County,71372
Massachusetts,Hampden County,463490
Massachusetts,Hampshire County,158080
Massachusetts,Middlesex County,1503085
Massachusetts,Nantucket County,10172
Massachusetts,Norfolk County,670850
Massachusetts,Plymouth County,494919
Massachusetts,Suffolk County,722023
Massachusetts,Worcester County,798552
Michigan,Alcona County,10942
Michigan,Alger County,9601
Michigan,Allegan County,111408
Michigan,Alpena County,29598
Michigan,Antrim County,23580
Michigan,Arenac County,15899
Michigan,Baraga County,8860
Michigan,Barry County,59173
Michigan,Bay County,107771
Michigan,Benzie County,17525
Michigan,Berrien County,156813
Michigan,Branch County,45248
Michigan,Calhoun County,136146
Michigan,Cass County,52293
Michigan,Charlevoix County,25949
Michigan,Cheboygan County,26152
Michigan,Chippewa County,38520
Michigan,Clare County,30926
Michigan,Clinton County,75382
Michigan,Crawford County,14074
Michigan,Delta County,37069
Michigan,Dickinson County,26168
Michigan,Eaton County,107759
Michigan,Emmet County,32694
Michigan,Genesee County,425790
Michigan,Gladwin County,25692
Michigan,Gogebic County,16427
Michigan,Grand Traverse County,86986
Michigan,Gratiot County,42476
Michigan,Hillsdale County,46688
Michigan,Houghton County,36628
Michigan,Huron County,33118
Michigan,Ingham County,280895
Michigan,Ionia County,63905
Michigan,Iosco County,25887
Michigan,Iron County,11817
Michigan,Isabella County,70311
Michigan,Jackson County,160248
Michigan,Kalamazoo County,250331
Michigan,Kalkaska County,17153
Michigan,Kent County,602622
Michigan,Keweenaw County,2156
Michigan,Lake County,11539
Michigan,Lapeer County,88319
Michigan,Leelanau County,21708
Michigan,Lenawee County,99892
Michigan,Livingston County,180967
Michigan,Luce County,6631
Michigan,Mackinac County,11113
Michigan,Macomb County,840978
Michigan,Manistee County,24733
Michigan,Marquette County,67077
Michigan,Mason County,28705
Michigan,Mecosta County,42798
Michigan,Menominee County,24029
Michigan,Midland County,83629
Michigan,Missaukee County,14849
Michigan,Monroe County,152021
Michigan,Montcalm County,63342
Michigan,Montmorency County,9765
Michigan,Muskegon County,172188
Michigan,Newaygo County,48460
Michigan,Oakland County,1202362
Michigan,Oceana County,26570
Michigan,Ogemaw County,21699
Michigan,Ontonagon County,6780
Michigan,Osceola County,23528
Michigan,Oscoda County,8640
Michigan,Otsego County,24164
Michigan,Ottawa County,263801
Michigan,Presque Isle County,13376
Michigan,Roscommon County,24449
Michigan,Saginaw County,200169
Michigan,St. Clair County,163040
Michigan,St. Joseph County,61295
Michigan,Sanilac County,43114
Michigan,Schoolcraft County,8485
Michigan,Shiawassee County,70648
Michigan,Tuscola County,55729
Michigan,Van Buren County,76258
Michigan,Washtenaw County,344791
Michigan,Wayne County,1820584
Michigan,Wexford County,32735
Minnesota,Aitkin County,16202
Minnesota,Anoka County,330844
Minnesota,Becker County,32504
Minnesota,Beltrami County,44442
Minnesota,Benton County,38451
Minnesota,Big Stone County,5269
Minnesota,Blue Earth County,64013
Minnesota,Brown County,25893
Minnesota,Carlton County,35386
Minnesota,Carver County,91042
Minnesota,Cass County,28567
Minnesota,Chippewa County,12441
Minnesota,Chisago County,53887
Minnesota,Clay County,58999
Minnesota,Clearwater County,8695
Minnesota,Cook County,5176
Minnesota,Cottonwood County,11687
Minnesota,Crow Wing County,62500
Minnesota,Dakota County,398552
Minnesota,Dodge County,20087
Minnesota,Douglas County,36009
Minnesota,Faribault County,14553
Minnesota,Fillmore County,20866
Minnesota,Freeborn County,31255
Minnesota,Goodhue County,46183
Minnesota,Grant County,6018
Minnesota,Hennepin County,1152425
Minnesota,Houston County,19027
Minnesota,Hubbard County,20428
Minnesota,Isanti County,37816
Minnesota,Itasca County,45058
Minnesota,Jackson County,10266
Minnesota,Kanabec County,16239
Minnesota,Kandiyohi County,42239
Minnesota,Kittson County,4552
Minnesota,Koochiching County,13311
Minnesota,Lac qui Parle County,7259
Minnesota,Lake County,10866
Minnesota,Lake of the Woods County,4045
Minnesota,Le Sueur County,27703
Minnesota,Lincoln County,5896
Minnesota,Lyon County,25857
Minnesota,McLeod County,36651
Minnesota,Mahnomen County,5413
Minnesota,Marshall County,9439
Minnesota,Martin County,20840
Minnesota,Meeker County,23300
Minnesota,Mille Lacs County,26097
Minnesota,Morrison County,33198
Minnesota,Mower County,39163
Minnesota,Murray County,8725
Minnesota,Nicollet County,32727
Minnesota,Nobles County,21378
Minnesota,Norman County,6852
Minnesota,Olmsted County,144248
Minnesota,Otter Tail County,57303
Minnesota,Pennington County,13930
Minnesota,Pine County,29750
Minnesota,Pipestone County,9596
Minnesota,Polk County,31600
Minnesota,Pope County,10995
Minnesota,Ramsey County,508640
Minnesota,Red Lake County,4089
Minnesota,Redwood County,16059
Minnesota,Renville County,15730
Minnesota,Rice County,64142
Minnesota,Rock County,9687
Minnesota,Roseau County,15629
Minnesota,St. Louis County,200226
Minnesota,Scott County,129928
Minnesota,Sherburne County,88499
Minnesota,Sibley County,15226
Minnesota,Stearns County,150642
Minnesota,Steele County,36576
Minnesota,Stevens County,9726
Minnesota,Swift County,9783
Minnesota,Todd County,24895
Minnesota,Traverse County,3558
Minnesota,Wabasha County,21676
Minnesota,Wadena County,13843
Minnesota,Waseca County,19136
Minnesota,Washington County,238136
Minnesota,Watonwan County,11211
Minnesota,Wilkin County,6576
Minnesota,Winona County,51461
Minnesota,Wright County,124700
Minnesota,Yellow Medicine County,10438
Mississippi,Adams County,32297
Mississippi,Alcorn County,37057
Mississippi,Amite County,13131
Mississippi,Attala County,19564
Mississippi,Benton County,8729
Mississippi,Bolivar County,34145
Mississippi,Calhoun County,14962
Mississippi,Carroll County,10597
Mississippi,Chickasaw County,17392
Mississippi,Choctaw County,8547
Mississippi,Claiborne County,9604
Mississippi,Clarke County,16732
Mississippi,Clay County,20634
Mississippi,Coahoma County,26151
Mississippi,Copiah County,29449
Mississippi,Covington County,19568
Mississippi,DeSoto County,161252
Mississippi,Forrest County,74934
Mississippi,Franklin County,8118
Mississippi,George County,22578
Mississippi,Greene County,14400
Mississippi,Grenada County,21906
Mississippi,Hancock County,43929
Mississippi,Harrison County,187105
Mississippi,Hinds County,245285
Mississippi,Holmes County,19198
Mississippi,Humphreys County,9375
Mississippi,Issaquena County,1406
Mississippi,Itawamba County,23401
Mississippi,Jackson County,139668
Mississippi,Jasper County,17062
Mississippi,Jefferson County,7726
Mississippi,Jefferson Davis County,12487
Mississippi,Jones County,67761
Mississippi,Kemper County,10456
Mississippi,Lafayette County,47351
Mississippi,Lamar County,55658
Mississippi,Lauderdale County,80261
Mississippi,Lawrence County,12929
Mississippi,Leake County,23805
Mississippi,Lee County,82910
Mississippi,Leflore County,32317
Mississippi,Lincoln County,34869
Mississippi,Lowndes County,59779
Mississippi,Madison County,95203
Mississippi,Marion County,27088
Mississippi,Marshall County,37144
Mississippi,Monroe County,36989
Mississippi,Montgomery County,10925
Mississippi,Neshoba County,29676
Mississippi,Newton County,21720
Mississippi,Noxubee County,11545
Mississippi,Oktibbeha County,47671
Mississippi,Panola County,34707
Mississippi,Pearl River County,55834
Mississippi,Perry County,12250
Mississippi,Pike County,40404
Mississippi,Pontotoc County,29957
Mississippi,Prentiss County,25276
Mississippi,Quitman County,8223
Mississippi,Rankin County,141617
Mississippi,Scott County,28264
Mississippi,Sharkey County,4916
Mississippi,Simpson County,27503
Mississippi,Smith County,16491
Mississippi,Stone County,17786
Mississippi,Sunflower County,29450
Mississippi,Tallahatchie County,15378
Mississippi,Tate County,28886
Mississippi,Tippah County,22232
Mississippi,Tishomingo County,19593
Mississippi,Tunica County,10778
Mississippi,Union County,27134
Mississippi,Walthall County,15443
Mississippi,Warren County,48773
Mississippi,Washington County,51137
Mississippi,Wayne County,20747
Mississippi,Webster County,10253
Mississippi,Wilkinson County,9878
Mississippi,Winston County,19198
Mississippi,Yalobusha County,12678
Mississippi,Yazoo County,28065
Missouri,Adair County,25607
Missouri,Andrew County,17291
Missouri,Atchison County,5685
Missouri,Audrain County,25529
Missouri,Barry County,35597
Missouri,Barton County,12402
Missouri,Bates County,17049
Missouri,Benton County,19056
Missouri,Bollinger County,12363
Missouri,Boone County,162642
Missouri,Buchanan County,89201
Missouri,Butler County,42794
Missouri,Caldwell County,9424
Missouri,Callaway County,44332
Missouri,Camden County,44002
Missouri,Cape Girardeau County,75674
Missouri,Carroll County,9295
Missouri,Carter County,6265
Missouri,Cass County,99478
Missouri,Cedar County,13982
Missouri,Chariton County,7831
Missouri,Christian County,77422
Missouri,Clark County,7139
Missouri,Clay County,221939
Missouri,Clinton County,20743
Missouri,Cole County,75990
Missouri,Cooper County,17601
Missouri,Crawford County,24696
Missouri,Dade County,7883
Missouri,Dallas County,16777
Missouri,Daviess County,8433
Missouri,DeKalb County,12892
Missouri,Dent County,15657
Missouri,Douglas County,13684
Missouri,Dunklin County,31953
Missouri,Franklin County,101492
Missouri,Gasconade County,15222
Missouri,Gentry County,6738
Missouri,Greene County,275174
Missouri,Grundy County,10261
Missouri,Harrison County,8957
Missouri,Henry County,22272
Missouri,Hickory County,9627
Missouri,Holt County,4912
Missouri,Howard County,10144
Missouri,Howell County,40400
Missouri,Iron County,10630
Missouri,Jackson County,674158
Missouri,Jasper County,117404
Missouri,Jefferson County,218733
Missouri,Johnson County,52595
Missouri,Knox County,4131
Missouri,Laclede County,35571
Missouri,Lafayette County,33381
Missouri,Lawrence County,38634
Missouri,Lewis County,10211
Missouri,Lincoln County,52566
Missouri,Linn County,12761
Missouri,Livingston County,15195
Missouri,McDonald County,23083
Missouri,Macon County,15566
Missouri,Madison County,12226
Missouri,Maries County,9176
Missouri,Marion County,28781
Missouri,Mercer County,3785
Missouri,Miller County,24748
Missouri,Mississippi County,14358
Missouri,Moniteau County,15607
Missouri,Monroe County,8840
Missouri,Montgomery County,12236
Missouri,Morgan County,20565
Missouri,New Madrid County,18956
Missouri,Newton County,58114
Missouri,Nodaway County,23370
Missouri,Oregon County,10881
Missouri,Osage County,13878
Missouri,Ozark County,9723
Missouri,Pemiscot County,18296
Missouri,Perry County,18971
Missouri,Pettis County,42201
Missouri,Phelps County,45156
Missouri,Pike County,18516
Missouri,Platte County,89322
Missouri,Polk County,31137
Missouri,Pulaski County,52274
Missouri,Putnam County,4979
Missouri,Ralls County,10167
Missouri,Randolph County,25414
Missouri,Ray County,23494
Missouri,Reynolds County,6696
Missouri,Ripley County,14100
Missouri,St. Charles County,360485
Missouri,St. Clair County,9805
Missouri,Ste. Genevieve County,18145
Missouri,St. Francois County,65359
Missouri,St. Louis County,998954
Missouri,Saline County,23370
Missouri,Schuyler County,4431
Missouri,Scotland County,4843
Missouri,Scott County,39191
Missouri,Shannon County,8441
Missouri,Shelby County,6373
Missouri,Stoddard County,29968
Missouri,Stone County,32202
Missouri,Sullivan County,6714
Missouri,Taney County,51675
Missouri,Texas County,26008
Missouri,Vernon County,21159
Missouri,Warren County,32513
Missouri,Washington County,25195
Missouri,Wayne County,13521
Missouri,Webster County,36202
Missouri,Worth County,2171
Missouri,Wright County,18815
Missouri,St. Louis city,319294
Montana,Beaverhead County,9246
Montana,Big Horn County,12865
Montana,Blaine County,6491
Montana,Broadwater County,5612
Montana,Carbon County,10078
Montana,Carter County,1160
Montana,Cascade County,81327
Montana,Chouteau County,5813
Montana,Custer County,11699
Montana,Daniels County,1751
Montana,Dawson County,8966
Montana,Deer Lodge County,9298
Montana,Fallon County,2890
Montana,Fergus County,11586
Montana,Flathead County,90928
Montana,Gallatin County,89513
Montana,Garfield County,1206
Montana,Glacier County,13399
Montana,Golden Valley County,884
Montana,Granite County,3079
Montana,Hill County,16096
Montana,Jefferson County,11406
Montana,Judith Basin County,2072
Montana,Lake County,28746
Montana,Lewis and Clark County,63395
Montana,Liberty County,2339
Montana,Lincoln County,19687
Montana,McCone County,1734
Montana,Madison County,7691
Montana,Meagher County,1891
Montana,Mineral County,4223
Montana,Missoula County,109299
Montana,Musselshell County,4538
Montana,Park County,15636
Montana,Petroleum County,494
Montana,Phillips County,4253
Montana,Pondera County,6153
Montana,Powder River County,1743
Montana,Powell County,7027
Montana,Prairie County,1179
Montana,Ravalli County,40212
Montana,Richland County,9746
Montana,Roosevelt County,10425
Montana,Rosebud County,9233
Montana,Sanders County,11413
Montana,Sheridan County,3384
Montana,Silver Bow County,34200
Montana,Stillwater County,9117
Montana,Sweet Grass County,3651
Montana,Teton County,6073
Montana,Toole County,5324
Montana,Treasure County,718
Montana,Valley County,7369
Montana,Wheatland County,2168
Montana,Wibaux County,1017
Montana,Yellowstone County,147972
Nebraska,Adams County,31364
Nebraska,Antelope County,6685
Nebraska,Arthur County,460
Nebraska,Banner County,690
Nebraska,Blaine County,478
Nebraska,Boone County,5505
Nebraska,Box Butte County,11308
Nebraska,Boyd County,2099
Nebraska,Brown County,3145
Nebraska,Buffalo County,46102
Nebraska,Burt County,6858
Nebraska,Butler County,8395
Nebraska,Cass County,25241
Nebraska,Cedar County,8852
Nebraska,Chase County,3966
Nebraska,Cherry County,5713
Nebraska,Cheyenne County,9998
Nebraska,Clay County,6542
Nebraska,Colfax County,10515
Nebraska,Cuming County,9139
Nebraska,Custer County,10939
Nebraska,Dakota County,21006
Nebraska,Dawes County,9182
Nebraska,Dawson County,24326
Nebraska,Deuel County,1941
Nebraska,Dixon County,6000
Nebraska,Dodge County,36691
Nebraska,Douglas County,517110
Nebraska,Dundy County,2008
Nebraska,Fillmore County,5890
Nebraska,Franklin County,3225
Nebraska,Frontier County,2756
Nebraska,Furnas County,4959
Nebraska,Gage County,22311
Nebraska,Garden County,2057
Nebraska,Garfield County,2049
Nebraska,Gosper County,2044
Nebraska,Grant County,614
Nebraska,Greeley County,2538
Nebraska,Hall County,58607
Nebraska,Hamilton County,9124
Nebraska,Harlan County,3423
Nebraska,Hayes County,967
Nebraska,Hitchcock County,2908
Nebraska,Holt County,10435
Nebraska,Hooker County,736
Nebraska,Howard County,6274
Nebraska,Jefferson County,7547
Nebraska,Johnson County,5217
Nebraska,Kearney County,6489
Nebraska,Keith County,8368
Nebraska,Keya Paha County,824
Nebraska,Kimball County,3821
Nebraska,Knox County,8701
Nebraska,Lancaster County,285407
Nebraska,Lincoln County,36288
Nebraska,Logan County,763
Nebraska,Loup County,632
Nebraska,McPherson County,539
Nebraska,Madison County,34876
Nebraska,Merrick County,7845
Nebraska,Morrill County,5042
Nebraska,Nance County,3735
Nebraska,Nemaha County,7248
Nebraska,Nuckolls County,4500
Nebraska,Otoe County,15740
Nebraska,Pawnee County,2773
Nebraska,Perkins County,2970
Nebraska,Phelps County,9188
Nebraska,Pierce County,7266
Nebraska,Platte County,32237
Nebraska,Polk County,5406
Nebraska,Red Willow County,11055
Nebraska,Richardson County,8363
Nebraska,Rock County,1526
Nebraska,Saline County,14200
Nebraska,Sarpy County,158840
Nebraska,Saunders County,20780
Nebraska,Scotts Bluff County,36970
Nebraska,Seward County,16750
Nebraska,Sheridan County,5469
Nebraska,Sherman County,3152
Nebraska,Sioux County,1311
Nebraska,Stanton County,6129
Nebraska,Thayer County,5228
Nebraska,Thomas County,647
Nebraska,Thurston County,6940
Nebraska,Valley County,4260
Nebraska,Washington County,20234
Nebraska,Wayne County,9595
Nebraska,Webster County,3812
Nebraska,Wheeler County,818
Nebraska,York County,13665
Nevada,Churchill County,24877
Nevada,Clark County,1951269
Nevada,Douglas County,46997
Nevada,Elko County,48818
Nevada,Esmeralda County,783
Nevada,Eureka County,1987
Nevada,Humboldt County,16528
Nevada,Lander County,5775
Nevada,Lincoln County,5345
Nevada,Lyon County,51980
Nevada,Mineral County,4772
Nevada,Nye County,43946
Nevada,Pershing County,6753
Nevada,Storey County,4010
Nevada,Washoe County,421407
Nevada,White Pine County,10030
Nevada,Carson City,55274
New Hampshire,Belknap County,60088
New Hampshire,Carroll County,47818
New Hampshire,Cheshire County,77117
New Hampshire,Coos County,33055
New Hampshire,Grafton County,89118
New Hampshire,Hillsborough County,400721
New Hampshire,Merrimack County,146445
New Hampshire,Rockingham County,295223
New Hampshire,Strafford County,123143
New Hampshire,Sullivan County,43742
New Jersey,Atlantic County,274549
New Jersey,Bergen County,905116
New Jersey,Burlington County,448734
New Jersey,Camden County,513657
New Jersey,Cape May County,97265
New Jersey,Cumberland County,156898
New Jersey,Essex County,783969
New Jersey,Gloucester County,288288
New Jersey,Hudson County,634266
New Jersey,Hunterdon County,128349
New Jersey,Mercer County,366513
New Jersey,Middlesex County,809858
New Jersey,Monmouth County,630380
New Jersey,Morris County,492276
New Jersey,Ocean County,576567
New Jersey,Passaic County,501226
New Jersey,Salem County,66083
New Jersey,Somerset County,323444
New Jersey,Sussex County,149265
New Jersey,Union County,536499
New Jersey,Warren County,108692
New Mexico,Bernalillo County,662564
New Mexico,Catron County,3725
New Mexico,Chaves County,65645
New Mexico,Cibola County,27213
New Mexico,Colfax County,13750
New Mexico,Curry County,48376
New Mexico,De Baca County,2022
New Mexico,Doña Ana County,209233
New Mexico,Eddy County,53829
New Mexico,Grant County,29514
New Mexico,Guadalupe County,4687
New Mexico,Harding County,695
New Mexico,Hidalgo County,4894
New Mexico,Lea County,64727
New Mexico,Lincoln County,20497
New Mexico,Los Alamos County,17950
New Mexico,Luna County,25095
New Mexico,McKinley County,71492
New Mexico,Mora County,4881
New Mexico,Otero County,63797
New Mexico,Quay County,9041
New Mexico,Rio Arriba County,40246
New Mexico,Roosevelt County,19846
New Mexico,Sandoval County,131561
New Mexico,San Juan County,130044
New Mexico,San Miguel County,29393
New Mexico,Santa Fe County,144170
New Mexico,Sierra County,11988
New Mexico,Socorro County,17866
New Mexico,Taos County,32937
New Mexico,Torrance County,16383
New Mexico,Union County,4549
New Mexico,Valencia County,76569
New York,Albany County,304204
New York,Allegany County,48946
New York,Bronx County,1385108
New York,Broome County,200600
New York,Cattaraugus County,80317
New York,Cayuga County,80026
New York,Chautauqua County,134905
New York,Chemung County,88830
New York,Chenango County,50477
New York,Clinton County,82128
New York,Columbia County,63096
New York,Cortland County,49336
New York,Delaware County,47980
New York,Dutchess County,297488
New York,Erie County,919040
New York,Essex County,39370
New York,Franklin County,51599
New York,Fulton County,55531
New York,Genesee County,60079
New York,Greene County,49221
New York,Hamilton County,4836
New York,Herkimer County,64519
New York,Jefferson County,116229
New York,Kings County,2504700
New York,Lewis County,27087
New York,Livingston County,65393
New York,Madison County,73442
New York,Monroe County,744344
New York,Montgomery County,50219
New York,Nassau County,1339532
New York,New York County,1585873
New York,Niagara County,216469
New York,Oneida County,234878
New York,Onondaga County,467026
New York,Ontario County,107931
New York,Orange County,372813
New York,Orleans County,42883
New York,Oswego County,122109
New York,Otsego County,62259
New York,Putnam County,99710
New York,Queens County,2230722
New York,Rensselaer County,159429
New York,Richmond County,468730
New York,Rockland County,311687
New York,St. Lawrence County,111944
New York,Saratoga County,219607
New York,Schenectady County,154727
New York,Schoharie County,32749
New York,Schuyler County,18343
New York,Seneca County,35251
New York,Steuben County,98990
New York,Suffolk County,1493350
New York,Sullivan County,77547
New York,Tioga County,51125
New York,Tompkins County,101564
New York,Ulster County,182493
New York,Warren County,65707
New York,Washington County,63216
New York,Wayne County,93772
New York,Westchester County,949113
New York,Wyoming County,42155
New York,Yates County,25348
North Carolina,Alamance County,151131
North Carolina,Alexander County,37198
North Carolina,Alleghany County,11155
North Carolina,Anson County,26948
North Carolina,Ashe County,27281
North Carolina,Avery County,17797
North Carolina,Beaufort County,47759
North Carolina,Bertie County,21282
North Carolina,Bladen County,35190
North Carolina,Brunswick County,107431
North Carolina,Buncombe County,238318
North Carolina,Burke County,90912
North Carolina,Cabarrus County,178011
North Carolina,Caldwell County,83029
North Carolina,Camden County,9980
North Carolina,Carteret County,66469
North Carolina,Caswell County,23719
North Carolina,Catawba County,154358
North Carolina,Chatham County,63505
North Carolina,Cherokee County,27444
North Carolina,Chowan County,14793
North Carolina,Clay County,10587
North Carolina,Cleveland County,98078
North Carolina,Columbus County,58098
North Carolina,Craven County,103505
North Carolina,Cumberland County,319431
North Carolina,Currituck County,23547
North Carolina,Dare County,33920
North Carolina,Davidson County,162878
North Carolina,Davie County,41240
North Carolina,Duplin County,58505
North Carolina,Durham County,267587
North Carolina,Edgecombe County,56552
North Carolina,Forsyth County,350670
North Carolina,Franklin County,60619
North Carolina,Gaston County,206086
North Carolina,Gates County,12197
North Carolina,Graham County,8861
North Carolina,Granville County,59916
North Carolina,Greene County,21362
North Carolina,Guilford County,488406
North Carolina,Halifax County,54691
North Carolina,Harnett County,114678
North Carolina,Haywood County,59036
North Carolina,Henderson County,106740
North Carolina,Hertford County,24669
North Carolina,Hoke County,46952
North Carolina,Hyde County,5810
North Carolina,Iredell County,159437
North Carolina,Jackson County,40271
North Carolina,Johnston County,168878
North Carolina,Jones County,10153
North Carolina,Lee County,57866
North Carolina,Lenoir County,59495
North Carolina,Lincoln County,78265
North Carolina,McDowell County,44996
North Carolina,Macon County,33922
North Carolina,Madison County,20764
North Carolina,Martin County,24505
North Carolina,Mecklenburg County,919628
North Carolina,Mitchell County,15579
North Carolina,Montgomery County,27798
North Carolina,Moore County,88247
North Carolina,Nash County,95840
North Carolina,New Hanover County,202667
North Carolina,Northampton County,22099
North Carolina,Onslow County,177772
North Carolina,Orange County,133801
North Carolina,Pamlico County,13144
North Carolina,Pasquotank County,40661
North Carolina,Pender County,52217
North Carolina,Perquimans County,13453
North Carolina,Person County,39464
North Carolina,Pitt County,168148
North Carolina,Polk County,20510
North Carolina,Randolph County,141752
North Carolina,Richmond County,46639
North Carolina,Robeson County,134168
North Carolina,Rockingham County,93643
North Carolina,Rowan County,138428
North Carolina,Rutherford County,67810
North Carolina,Sampson County,63431
North Carolina,Scotland County,36157
North Carolina,Stanly County,60585
North Carolina,Stokes County,47401
North Carolina,Surry County,73673
North Carolina,Swain County,13981
North Carolina,Transylvania County,33090
North Carolina,Tyrrell County,4407
North Carolina,Union County,201292
North Carolina,Vance County,45422
North Carolina,Wake County,900993
North Carolina,Warren County,20972
North Carolina,Washington County,13228
North Carolina,Watauga County,51079
North Carolina,Wayne County,122623
North Carolina,Wilkes County,69340
North Carolina,Wilson County,81234
North Carolina,Yadkin County,38406
North Carolina,Yancey County,17818
North Dakota,Adams County,2343
North Dakota,Barnes County,11066
North Dakota,Benson County,6660
North Dakota,Billings County,783
North Dakota,Bottineau County,6429
North Dakota,Bowman County,3151
North Dakota,Burke County,1968
North Dakota,Burleigh County,81308
North Dakota,Cass County,149778
North Dakota,Cavalier County,3993
North Dakota,Dickey County,5289
North Dakota,Divide County,2071
North Dakota,Dunn County,3536
North Dakota,Eddy County,2385
North Dakota,Emmons County,3550
North Dakota,Foster County,3343
North Dakota,Golden Valley County,1680
North Dakota,Grand Forks County,66861
North Dakota,Grant County,2394
North Dakota,Griggs County,2420
North Dakota,Hettinger County,2477
North Dakota,Kidder County,2435
North Dakota,LaMoure County,4139
North Dakota,Logan County,1990
North Dakota,McHenry County,5395
North Dakota,McIntosh County,2809
North Dakota,McKenzie County,6360
North Dakota,McLean County,8962
North Dakota,Mercer County,8424
North Dakota,Morton County,27471
North Dakota,Mountrail County,7673
North Dakota,Nelson County,3126
North Dakota,Oliver County,1846
North Dakota,Pembina County,7413
North Dakota,Pierce County,4357
North Dakota,Ramsey County,11451
North Dakota,Ransom County,5457
North Dakota,Renville County,2470
North Dakota,Richland County,16321
North Dakota,Rolette County,13937
North Dakota,Sargent County,3829
North Dakota,Sheridan County,1321
North Dakota,Sioux County,4153
North Dakota,Slope County,727
North Dakota,Stark County,24199
North Dakota,Steele County,1975
North Dakota,Stutsman County,21100
North Dakota,Towner County,2246
North Dakota,Traill County,8121
North Dakota,Walsh County,11119
North Dakota,Ward County,61675
North Dakota,Wells County,4207
North Dakota,Williams County,22398
Ohio,Adams County,28550
Ohio,Allen County,106331
Ohio,Ashland County,53139
Ohio,Ashtabula County,101497
Ohio,Athens County,64757
